date,price,demand,1_lag_pred,fsa,avg_cloudCover,avg_daytime,avg_dewPoint,avg_feelslikemax,avg_feelslikemin,avg_humidity,avg_moonPhase,avg_precipIntensity,avg_precipProbability,avg_pressure,avg_tempmax,avg_tempmin,avg_uvIndex,avg_visibility,avg_windBearing,avg_windGust,avg_windSpeed,avg_temp
2020-10-24,10.837083333333332,322899,9.540833333333332,1,10.427976190476194,10.648208498677247,38.86666666666665,56.041369047619064,40.30416666666667,65.66934523809518,0.7600000000000022,0.0016964285714285714,2.6785714285714284,1019.43244047619,56.444047619047616,44.76279761904761,1.761904761904762,79.98154761904759,98.06101190476191,23.275,12.200892857142856,5.840625000000003
2020-10-25,12.104583333333332,327917,14.736249999999998,1,7.608035714285711,10.601427744708992,42.70238095238094,58.71607142857143,41.24761904761903,72.46133928571426,0.7849999999999975,0.0045238095238095246,2.380952380952381,1019.3157738095233,58.74464285714286,43.11279761904761,1.818452380952381,79.58273809523813,121.52619047619041,23.60833333333333,11.446428571428571,7.8159226190476225
2020-10-26,23.07541666666667,366830,23.47125,1,26.397619047619038,10.55487268518518,47.60833333333329,54.97946428571432,43.40744047619049,86.56383928571428,0.30499999999999977,0.3415178571428574,49.10714285714285,1012.6788690476186,55.99553571428567,46.09494047619048,1.1398809523809523,78.02619047619044,66.37023809523811,30.7625850340136,19.475297619047627,4.950297619047596
2020-10-27,23.54375,368576,24.780833333333337,1,43.86577380952382,10.508566468253964,45.31130952380954,52.20654761904761,40.46488095238095,86.82815476190474,0.3299999999999988,0.3186904761904764,97.61904761904762,1008.1276785714293,52.990773809523795,45.01547619047618,1.0833333333333333,78.07857142857145,204.2928571428571,30.455172413793115,18.63541666666665,3.987648809523808
2020-10-28,8.639583333333333,353642,20.742916666666662,1,26.005357142857143,10.4625496031746,38.18720238095239,54.24374999999996,39.23124999999999,68.25452380952383,0.35999999999999954,0.0023511904761904768,0.5952380952380952,1020.7514880952369,54.94196428571429,44.044047619047596,2.0595238095238093,79.59523809523814,260.93273809523794,26.323255813953505,14.886011904761892,5.448958333333348
2020-10-29,13.208333333333336,361436,22.334583333333327,1,16.824702380952385,10.416817129629631,37.652678571428595,47.58482142857145,36.625892857142865,72.30958333333328,0.3999999999999993,0.002291666666666667,0.0,1023.2744047619044,49.97648809523817,41.989285714285714,2.1041666666666665,79.11458333333336,71.69136904761902,26.854216867469912,20.25476190476192,3.9936011904762267
2020-10-30,17.527083333333337,364031,21.808750000000003,1,12.789285714285706,10.371354993386243,43.058928571428574,56.08541666666665,39.34940476190475,80.41383928571426,0.4449999999999992,0.1213392857142857,49.10714285714285,1018.4050595238117,56.10833333333331,43.67321428571425,2.068452380952381,78.60505952380952,79.75744047619052,19.9377245508982,16.879464285714267,6.2175595238095305
2020-10-31,7.87375,337987,11.199166666666665,1,32.137797619047625,10.326241732804236,43.60952380952379,52.4684523809524,39.37380952380953,86.84345238095236,0.4950000000000002,0.4405952380952384,49.10714285714285,1011.82886904762,52.789880952380955,43.54017857142858,1.5208333333333333,76.20684523809527,77.28303571428576,17.061890243902425,14.252083333333333,4.624851190476189
2020-11-01,2.9779166666666668,332065,3.86125,1,54.79166666666664,10.281444279100537,45.60684523809525,55.90238095238095,43.05208333333329,83.01875000000003,0.5450000000000014,0.07928571428571425,96.13095238095238,1008.3172619047612,55.92470238095239,46.55833333333332,1.3720238095238095,69.84077380952375,172.49672619047618,23.79136904761904,15.464583333333332,4.683184523809533
2020-11-02,6.802083333333333,363406,17.507916666666663,1,56.56964285714281,10.242306547619043,51.78839285714297,63.97291666666666,51.424404761904775,86.37261904761904,0.26,0.16403273809523805,96.13095238095238,1016.5797619047617,63.998511904761884,51.47083333333335,1.8869047619047616,6.3101190476190485,279.6023809523809,19.70952380952381,11.1452380952381,6.2638392857142655
